north_count,south_count,east_count,west_count,avg_speed,queue_length,time_of_day,congestion_score
46,45,50,68,30.903987060852153,50,8.9889628523367,0.6289592925881586
41,21,24,30,44.76497368901147,21,22.817143353837988,0.28451969829317453
59,60,52,66,27.104728819220174,50,17.567854603473723,0.6769584591713244
17,21,35,33,51.06506747230822,15,14.367803620728878,0.28956974287631576
11,7,0,0,54.25155267006026,0,3.7444473706184764,0.10123465672879807
17,10,5,0,50.02569840398131,5,3.7438684880688635,0.20284581079944558
12,0,4,3,60.0,0,1.394006692036787,0.04899237150688396
24,35,9,23,46.20255304413163,28,20.788227498598445,0.38648317402703897
31,39,21,31,43.11110116911921,16,14.426760281837012,0.3562258833915909
48,51,34,32,30.433758914908204,47,16.993741867105093,0.5770448230892861
21,0,0,1,47.53069001914597,6,0.4940278630992587,0.08463892966672737
25,27,18,25,48.03332191024509,14,23.277836451887865,0.34219080865949936
30,40,34,17,47.65376232444865,26,19.97862337921012,0.40340942590262785
31,36,24,32,50.97475539330439,15,5.096138656278628,0.17717161657504654
0,0,12,9,56.70820624570393,0,4.363799212970415,0.026411822806577813
5,19,0,16,55.33082678235695,1,4.401708236482412,0.15502319089575617
28,26,20,41,42.84510106042767,25,7.301813831028905,0.41257708180670694
43,19,21,23,50.171254802356806,15,12.594154359173707,0.22190412523884814
53,50,43,49,36.950954184366196,46,10.36668044741078,0.6103572909809044
26,14,29,9,46.889176465827454,13,6.989499364753006,0.18711508635136395
28,36,27,13,44.72971951336061,25,14.684469473337106,0.29434209695426783
2,15,0,5,50.40184331308043,2,3.347852655649004,0.14866333448471863
29,19,30,22,44.57729498446659,20,7.011471564845236,0.2786703120934271
59,48,36,54,36.904324800884034,37,8.7926842390486,0.5700214518387103
39,38,27,29,45.210616282017924,18,10.945679621208862,0.39531936687129415
64,61,51,50,27.606038284312152,50,18.844223073432325,0.7105163399217581
17,0,3,8,49.0831078384434,7,4.792170771800634,0.11442292841855288
37,27,29,21,44.40971654265022,21,12.341626521926678,0.4506924192815388
29,27,25,35,57.353120453878184,12,14.217949652689018,0.23536740306962683
0,11,2,7,59.0776811888353,5,1.1148099052799454,0.0
32,28,29,22,40.173806849688596,20,14.58107644563452,0.3506594240831523
7,0,2,0,57.1476648658664,0,4.092578968494997,0.09990604403643669
13,0,0,0,54.13527014137101,3,1.5612382316467084,0.07927526272677196
36,16,33,18,48.77611500097769,14,22.77325289408,0.30389477206829857
43,35,16,32,37.84286758778433,27,23.175168793789425,0.4029445303354609
55,75,61,68,31.917716027891053,50,19.401536354795066,0.7017958981688522
